2022-11-10 15:19:30,571;2999
2022-11-10 15:19:35,493;3744
2022-11-10 15:19:42,789;4831
2022-11-10 15:19:45,602;5256
2022-11-10 15:19:48,164;5639
2022-11-10 15:19:52,602;6296
2022-11-10 15:19:53,852;6473
2022-11-10 15:20:00,864;7532
2022-11-10 15:20:01,692;7656
2022-11-10 15:20:02,051;7711
2022-11-10 15:20:11,458;9127
2022-11-10 15:20:19,301;10332
2022-11-10 15:20:22,786;10858
2022-11-10 15:20:40,443;13569
2022-11-10 15:20:45,537;14298
2022-11-10 15:20:46,178;14398
2022-11-10 15:20:46,365;14430
2022-11-10 15:20:47,271;14573
2022-11-10 15:20:51,334;15202
2022-11-10 15:21:01,533;16729
2022-11-10 15:21:02,741;16919
2022-11-10 15:21:04,397;17178
2022-11-10 15:21:04,554;17205
2022-11-10 15:21:15,194;18857
2022-11-10 15:21:18,288;19321
2022-11-10 15:21:20,600;19684
2022-11-10 15:21:20,647;19693
2022-11-10 15:21:26,470;20594
2022-11-10 15:21:34,689;21873
2022-11-10 15:21:43,674;23255
2022-11-10 15:21:50,783;24294
2022-11-10 15:21:55,047;24962
2022-11-10 15:21:57,391;25319
2022-11-10 15:22:13,721;27802
2022-11-10 15:22:14,346;27896
2022-11-10 15:22:17,737;28406
2022-11-10 15:22:20,909;28900
2022-11-10 15:22:21,831;29042
2022-11-10 15:22:26,001;29667
2022-11-10 15:22:38,472;31594
2022-11-10 15:22:38,519;31602
2022-11-10 15:22:39,035;31665
2022-11-10 15:22:41,425;32038
2022-11-10 15:22:45,628;32666
2022-11-10 15:22:50,910;33484
2022-11-10 15:22:51,894;33638
2022-11-10 15:22:53,847;33940
2022-11-10 15:22:54,457;34039
2022-11-10 15:23:00,250;34934
2022-11-10 15:23:05,615;35754
2022-11-10 15:23:08,287;36170
2022-11-10 15:23:08,865;36260
2022-11-10 15:23:11,896;36727
2022-11-10 15:23:17,474;37596
2022-11-10 15:23:19,334;37880
2022-11-10 15:23:29,460;39456
2022-11-10 15:23:34,053;40163
2022-11-10 15:23:34,866;40287
2022-11-10 15:23:35,350;40362
2022-11-10 15:23:39,335;40979
2022-11-10 15:23:39,428;40994
2022-11-10 15:23:39,725;41040
2022-11-10 15:23:41,897;41382
2022-11-10 15:23:48,600;42402
2022-11-10 15:23:48,725;42420
2022-11-10 15:24:02,821;44590
2022-11-10 15:24:04,758;44875
2022-11-10 15:24:08,916;45522
2022-11-10 15:24:16,635;46707
2022-11-10 15:24:21,041;47383
